ObservationNmb,MaturityMthsQty,"Years Till Maturity"
2014534,72,6
2014557,60,5
2014591,24,2
2014616,84,7
2014619,96,8
2014631,84,7
2014660,10,1
2014661,36,3
2014706,68,6
2014715,12,1
2014741,84,7
2014756,60,5
2014759,84,7
2014765,52,4
2014775,84,7
2014784,29,2
2014805,60,5
2014814,60,5
2014828,60,5
2014830,63,5
2014832,48,4
2014834,12,1
2014836,81,7
2014840,22,2
2014843,12,1
2014850,83,7
2014855,60,5
2014878,84,7
2014897,48,4
2014907,36,3
2014942,23,2
2014969,43,4
2014988,84,7
2014997,84,7
2014998,31,3
2015007,3,0
2015039,84,7
2015046,13,1
2015050,9,1
2015051,84,7
2015080,38,3
2015107,12,1
2015111,60,5
2015123,60,5
2015133,12,1
2015137,36,3
2015139,7,1
2015159,60,5
2015161,84,7
2015168,36,3
2015201,60,5
2015228,12,1
2015239,84,7
2015256,35,3
2015265,83,7
2015316,84,7
2015318,83,7
2015319,84,7
2015320,24,2
2015321,38,3
2015325,36,3
2015328,73,6
2015359,84,7
2015368,61,5
2015391,12,1
2015392,48,4
2015395,16,1
2015424,4,0
2015435,84,7
2015436,60,5
2015445,84,7
2015455,83,7
2015460,60,5
2015461,84,7
2015462,60,5
2015465,36,3
2015490,76,6
2015493,80,7
2015505,12,1
2015510,90,8
2015517,12,1
2015519,12,1
2015521,83,7
2015522,12,1
2015523,83,7
2015535,34,3
2015545,51,4
2015548,32,3
2015563,72,6
2015567,84,7
2015568,60,5
2015569,13,1
2015575,84,7
2015578,84,7
2015580,35,3
2015586,60,5
2015655,83,7
2015657,54,5
2015674,37,3
2015689,84,7
2015690,28,2
2015691,83,7
2015703,79,7
2015749,12,1
2015782,18,2
2015783,60,5
2015786,84,7
2015791,48,4
2015808,60,5
2015827,21,2
2015835,60,5
2015837,84,7
2015880,44,4
2015898,7,1
2015907,36,3
2015922,84,7
2015942,121,10
2015979,84,7
2015986,67,6
2016008,84,7
2016013,12,1
2016051,12,1
2016056,83,7
2016080,60,5
2016081,39,3
2016105,84,7
2016118,83,7
2016119,83,7
2016137,60,5
2016191,60,5
2016196,20,2
2016206,29,2
2016224,60,5
2016253,12,1
2016270,84,7
2016271,84,7
2016306,83,7
2016326,12,1
2016331,60,5
2016384,82,7
2016389,84,7
2016393,84,7
2016398,60,5
2016404,102,9
2016409,60,5
2016432,12,1
2016451,9,1
2016463,36,3
2016480,79,7
2016484,36,3
2016488,83,7
2016491,48,4
2016494,84,7
2016503,1,0
2016540,3,0
2016542,84,7
2016546,45,4
2016549,84,7
2016552,71,6
2016568,60,5
2016570,54,5
2016586,82,7
2016588,60,5
2016589,50,4
2016600,60,5
2016602,24,2
2016626,81,7
2016628,84,7
2016637,84,7
2016642,7,1
2016664,62,5
2016667,34,3
