ObservationNmb,MaturityMthsQty,"Years Till Maturity"
1504540,48,4
1504542,48,4
1504556,20,2
1504560,60,5
1504565,60,5
1504602,84,7
1504603,84,7
1504604,37,3
1504615,73,6
1504648,75,6
1504655,15,1
1504658,61,5
1504683,48,4
1504684,74,6
1504685,84,7
1504705,25,2
1504706,72,6
1504710,12,1
1504715,23,2
1504758,12,1
1504772,12,1
1504777,83,7
1504784,84,7
1504802,84,7
1504827,83,7
1504829,82,7
1504830,12,1
1504834,48,4
1504862,60,5
1504865,60,5
1504871,60,5
1504872,48,4
1504882,7,1
1504946,83,7
1504951,11,1
1504963,58,5
1505042,60,5
1505043,48,4
1505053,25,2
1505072,48,4
1505096,60,5
1505097,83,7
1505109,84,7
1505140,12,1
1505143,24,2
1505195,84,7
1505258,84,7
1505259,12,1
1505280,96,8
1505283,14,1
1505286,12,1
1505288,48,4
1505314,60,5
1505328,84,7
1505374,12,1
1505375,46,4
1505408,12,1
1505410,12,1
1505425,82,7
1505426,12,1
1505428,83,7
1505439,59,5
1505507,68,6
1505542,12,1
1505546,48,4
1505550,36,3
1505576,24,2
1505602,120,10
1505636,36,3
1505647,60,5
1505650,32,3
1505653,60,5
1505659,60,5
1505662,84,7
1505678,16,1
1505680,60,5
1505681,60,5
1505686,119,10
1505712,60,5
1505741,84,7
1505782,94,8
1505809,36,3
1505811,48,4
1505824,11,1
1505837,12,1
1505848,60,5
1505874,22,2
1505878,60,5
1505881,61,5
1505921,58,5
1505925,60,5
1505932,6,1
1505960,12,1
1505962,12,1
1505964,33,3
1505968,88,7
1505969,18,2
1505977,60,5
1505980,84,7
1505992,36,3
1505996,82,7
1505997,59,5
1505999,12,1
1506082,82,7
1506094,48,4
1506131,12,1
1506145,71,6
1506172,12,1
1506180,15,1
1506185,36,3
1506197,60,5
1506201,84,7
1506203,84,7
1506235,84,7
1506258,60,5
1506268,94,8
1506277,6,1
1506290,18,2
1506298,82,7
1506319,60,5
1506323,84,7
1506327,36,3
1506330,84,7
1506342,12,1
1506383,24,2
1506398,36,3
1506406,30,3
1506410,60,5
1506417,60,5
1506428,12,1
1506447,12,1
1506464,22,2
1506465,48,4
1506472,12,1
1506485,52,4
1506502,9,1
1506543,84,7
1506545,84,7
1506546,33,3
1506548,12,1
1506549,84,7
1506560,48,4
1506562,10,1
1506563,53,4
1506571,60,5
1506577,12,1
1506604,48,4
1506674,36,3
1506687,60,5
1506698,60,5
1506705,67,6
1506725,74,6
1506730,80,7
1506734,111,9
