,Year,Month,Actual Balance,Difference_l
148,2012,5,82039854.96,-2311013.526666667
149,2012,6,77421968.51333334,-2022087.23
150,2012,7,82925048.38333334,-2221456.2677777777
151,2012,8,80678421.7811111,-2282827.1733333333
152,2012,9,75385024.08,-2405557.643333333
153,2012,10,77566080.50666666,-1146149.6866666668
154,2012,11,68191952.66666667,-1789230.7637037036
155,2012,12,76499122.30888888,-1866292.6122222221
156,2013,1,72762376.48222223,-1814187.5833333335
157,2013,2,68735388.85555555,-3533335.838888889
158,2013,3,70603433.49666667,-939767.1322222223
159,2013,4,67283120.88,-2165488.006666667
160,2013,5,67485130.73666666,-1423853.7166666666
161,2013,6,61563206.39666667,-848822.8733333333
162,2013,7,64622358.604444444,-901621.5555555556
163,2013,8,63066953.61333333,-729184.3833333333
164,2013,9,63990703.263333336,-887813.8766666666
165,2013,10,58986315.81333333,-1633334.3233333335
166,2013,11,56258045.373333335,-1685132.03
167,2013,12,61315809.25666667,-591647.15
168,2014,1,57644976.54,-779599.8366666667
169,2014,2,54803856.593333334,-394485.53
170,2014,3,54081622.52666666,-2050598.2833333332
171,2014,4,53942598.62,-973474.6
172,2014,5,52054171.946666665,-1761867.6933333334
173,2014,6,50369903.87,-450049.3466666666
174,2014,7,51658910.943333335,-379986.9466666667
175,2014,8,51187871.72666667,-1328449.1966666665
176,2014,9,52173718.54333334,-856239.29
177,2014,10,47316192.53555556,-1351549.2322222223
178,2014,11,45128585.77,-906904.3033333333
179,2014,12,45914932.28666667,-989473.47
180,2015,1,43449701.46,-943034.6355555556
181,2015,2,41401562.10333333,-1299987.4466666668
182,2015,3,43195051.38666666,-1602862.23
183,2015,4,40294679.32666667,-1157409.2233333334
184,2015,5,36767546.825555556,-378130.0744444445
185,2015,6,42627514.934074074,-1012478.9803703703
186,2015,7,40466554.53666667,-1026421.9611111111
187,2015,8,38912221.373333335,-1543954.7155555557
188,2015,9,37584512.373333335,-3936112.43
189,2015,10,36070282.46333333,-1049491.5066666666
190,2015,11,36227790.086666666,-460733.2800000001
191,2015,12,36389889.747777775,-1575109.8744444444
192,2016,1,34124485.52333333,-1091163.1666666667
193,2016,2,34193965.81,-1871289.49
194,2016,3,31810520.495185185,-1576073.3425925926
195,2016,4,32102286.406666666,-1884880.1199999999
196,2016,5,32739210.596666668,-1122614.1766666668
197,2016,6,30524438.083333332,-1004838.4433333334
198,2016,7,26628874.453333333,-762013.6733333333
199,2016,8,30751545.669999998,-1026750.6233333333
200,2016,9,26562510.21,-1057226.7466666666
201,2016,10,26743152.976666667,-1034325.8133333332
202,2016,11,24334748.293333333,-1626012.3866666667
203,2016,12,24828803.26,-297943.60000000003
204,2017,1,24894555.88,-56274.71333333333
205,2017,2,23654854.54,-330855.95
206,2017,3,24342770.49,-489553.92
207,2017,4,24097789.916666668,-1050828.4733333334
208,2017,5,23615079.833333332,-551710.4733333334
209,2017,6,22658714.473333333,-157401.80000000002
210,2017,7,22496605.866666667,-467953.23999999993
211,2017,8,21679040.126666665,-979195.0066666667
212,2017,9,20977069.673333332,-238214.98666666663
213,2017,10,20214734.88,-1431483.26
214,2017,11,18517138.766666666,-1092014.3133333332
215,2017,12,16828653.54,-506981.69333333336
216,2018,1,16478134.21,-67328.69666666666
217,2018,2,16749605.9,-155213.61
218,2018,3,16786560.413703702,-474756.0937037037
219,2018,4,17844813.58,-199597.27
220,2018,5,16348428.99,-487523.8533333334
221,2018,6,14997207.563333333,-386197.75333333336
222,2018,7,15491332.183333334,-135887.11999999997
223,2018,8,15130859.053333333,-237096.32999999996
224,2018,9,12386000.132592592,-878439.7837037039
225,2018,10,15175277.36,-19015.51333333332
226,2018,11,13573527.24,-371049.88666666666
227,2018,12,12442289.49,-605203.0533333333
228,2019,1,12707483.523333333,-189226.69999999998
229,2019,2,12404747.86,-489616.56703703705
230,2019,3,11503280.83,-305553.6666666667
231,2019,4,12099275.14,-344048.7566666667
232,2019,5,10742434.25,-1195368.3233333335
233,2019,6,10269991.226666667,-418470.87333333335
234,2019,7,10381160.623333333,-207384.66999999998
235,2019,8,9916597.44,-64882.10333333339
236,2019,9,9331446.5,-214085.71999999994
237,2019,10,8687238.73,-285938.47000000003
238,2019,11,8363313.65,-97859.75
239,2019,12,8346085.253333333,-227098.49666666664
240,2020,1,7953940.656666666,-21316.359259259298
241,2020,2,8082822.75,-208261.00666666662
242,2020,3,7192424.03,-10213.080000000016
243,2020,4,7033364.613333333,-68671.29666666663
244,2020,5,7540700.59,-94888.44333333336
245,2020,6,7526564.826666667,-45123.47333333335
246,2020,7,7751907.723333334,-80030.84666666666
247,2020,8,7597793.046666667,-520548.9333333334
248,2020,9,7147937.316666666,-25274.103333333333
249,2020,10,5488015.223333334,-59106.15999999996
250,2020,11,5677452.0,-48015.29000000003
251,2020,12,4818776.7,-472437.86
252,2021,1,4955531.7,-303271.2
253,2021,2,4634773.71,-85698.39000000003
254,2021,3,5118334.02,-86666.68999999999
255,2021,4,4120000.9,-158311.12
256,2021,5,3777388.8,-65303.85
257,2021,6,4331798.66,-123576.35666666669
258,2021,7,3759839.89,-36974.203333333324
259,2021,8,3319057.38,-11766.919999999995
260,2021,9,399999.0,-2319.0
